Time (ms);Barometer (Pa);Lon (° dec);Lat (° dec);Alt (m ASL)
2193601;119810;-8.2891569;39.3901405;173
2402401;167910;-8.2891903;39.3901672;174
2404801;59950;-8.2815533;39.3923035;7877
2409601;55740;-8.2810583;39.3923340;8329
2412002;48830;-8.2799263;39.3923912;9201
2414401;46170;-8.2794886;39.3924065;9458
2416801;44620;-8.2789173;39.3924255;9758
2419201;43480;-8.2785511;39.3924370;9905
2421601;42690;-8.2781792;39.3924370;10009
2424002;42350;-8.2776394;39.3924255;10090
2426401;42370;-8.2772961;39.3924103;10097
2428801;42760;-8.2767849;39.3923798;10036
2431201;43230;-8.2765293;39.3922997;9962
2443201;43850;-8.2763386;39.3920937;9891
2445601;46680;-8.2764482;39.3902092;9466
2448002;47390;-8.2766228;39.3898087;9363
2452801;47780;-8.2766838;39.3895454;9300
2455201;48770;-8.2768688;39.3888931;9134
2457601;49410;-8.2769508;39.3887100;9070
2460002;49980;-8.2770853;39.3883820;8975
2462401;50630;-8.2771931;39.3881340;8910
2464801;51060;-8.2773924;39.3877869;8810
2467201;51650;-8.2774887;39.3875923;8748
2469601;52330;-8.2775755;39.3874016;8683
2472002;53020;-8.2777729;39.3871078;8588
2474401;53520;-8.2778912;39.3869476;8528
2476801;53840;-8.2780046;39.3866806;8430
2480401;54550;-8.2780333;39.3864784;8365
2482801;55280;-8.2782841;39.3860970;8241
2485201;55940;-8.2784519;39.3859100;8174
2490002;56560;-8.2785854;39.3856697;8113
2492401;57420;-8.2788181;39.3850746;7959
2494801;57990;-8.2790499;39.3846207;7868
2497201;58100;-8.2792091;39.3843307;7809
2499601;58960;-8.2792978;39.3840675;7746
2502002;59200;-8.2795172;39.3836441;7661
2504401;59910;-8.2796488;39.3833580;7601
2506801;60330;-8.2798252;39.3829880;7512
2511601;60990;-8.2799854;39.3827477;7454
2514002;62000;-8.2802811;39.3821831;7307
2516401;62450;-8.2803936;39.3820381;7246
2518801;62910;-8.2805529;39.3817673;7158
2523601;63380;-8.2806292;39.3815308;7098
2526002;64550;-8.2809048;39.3809624;6953
2528401;65170;-8.2810030;39.3807640;6895
2530801;65330;-8.2810822;39.3804512;6811
2533201;65960;-8.2811680;39.3802528;6749
2535601;66620;-8.2812853;39.3798637;6659
2538002;66780;-8.2813549;39.3796577;6603
2540401;67520;-8.2814436;39.3794403;6545
2542801;68250;-8.2815514;39.3791885;6461
2545201;68550;-8.2816095;39.3789520;6404
2547601;69110;-8.2817020;39.3786278;6319
2551201;69470;-8.2817736;39.3784485;6260
2553601;70370;-8.2819195;39.3780785;6142
2556002;71030;-8.2819929;39.3778305;6087
2558401;71600;-8.2820673;39.3776093;6035
2562001;72150;-8.2821217;39.3772469;5953
2564401;72750;-8.2821455;39.3769417;5870
2566801;73490;-8.2822609;39.3765755;5785
2569201;74010;-8.2823105;39.3763466;5726
2571601;74680;-8.2824697;39.3759956;5641
2574002;75270;-8.2825470;39.3757820;5587
2576401;75480;-8.2825994;39.3755302;5536
2578801;76120;-8.2826385;39.3751335;5459
2581201;76690;-8.2826729;39.3748894;5406
2583601;77160;-8.2827101;39.3745308;5324
2586002;77530;-8.2827787;39.3743134;5269
2588401;78060;-8.2827921;39.3741074;5216
2592002;78620;-8.2828379;39.3738556;5136
2594401;79400;-8.2828951;39.3736115;5054
2596801;79930;-8.2829876;39.3733559;4974
2599201;80220;-8.2830496;39.3731766;4919
2601601;80780;-8.2831354;39.3729134;4842
2604002;81530;-8.2831755;39.3727570;4791
2606401;81940;-8.2832518;39.3725510;4737
2608801;82450;-8.2833109;39.3722954;4660
2611201;82750;-8.2834139;39.3721046;4608
2613601;83230;-8.2835369;39.3718567;4532
2616002;83650;-8.2836008;39.3716850;4481
2618401;84450;-8.2836390;39.3715439;4429
2623201;84580;-8.2837276;39.3713570;4356
2625601;85780;-8.2838354;39.3710289;4230
2628002;86350;-8.2838669;39.3709259;4183
2630401;87170;-8.2839537;39.3708076;4131
2632801;87500;-8.2839594;39.3705711;4054
2637601;88150;-8.2839985;39.3703957;4000
2640002;89250;-8.2842216;39.3699989;3872
2642401;89850;-8.2843103;39.3698196;3823
2647201;90260;-8.2843733;39.3696060;3748
2649601;91030;-8.2844458;39.3692513;3619
2652002;91540;-8.2845116;39.3691063;3571
2654401;92240;-8.2845592;39.3689461;3522
