Time (ms);Barometer (Pa);Lon (° dec);Lat (° dec);Alt (m ASL)
2401;111440;1.7833333;85.1166687;0
4801;111530;1.8166667;85.1500015;0
9601;111670;1.9000000;85.2333298;0
12002;111750;1.9333333;85.2666702;0
16801;111940;2.0166667;85.3499985;0
19201;112040;2.0666666;85.4000015;0
21601;112140;2.0999999;85.4333344;0
24002;112240;2.1333334;85.4666672;0
31201;112640;2.2666667;85.5999985;0
33601;112770;2.3000000;85.6333313;0
43201;113390;2.4666667;85.8000031;0
45601;113530;-8.2891455;39.3901367;165
48002;113700;-8.2891445;39.3901367;166
50401;113860;-8.2891436;39.3901367;0
52801;114040;-8.2891445;39.3901367;166
55201;114190;-8.2891445;39.3901367;166
60002;114540;-8.2891397;39.3901367;167
62401;114720;-8.2891388;39.3901367;168
64801;114880;-8.2891369;39.3901329;168
72002;115400;-8.2891369;39.3901291;168
74401;115580;-8.2891388;39.3901291;169
76801;115740;-8.2891388;39.3901253;170
81601;116070;-8.2891426;39.3901291;170
86401;116400;-8.2891455;39.3901329;171
91201;116720;-8.2891502;39.3901329;171
98401;117230;-8.2891579;39.3901405;170
103201;117550;-8.2891617;39.3901443;170
105601;117710;-8.2891617;39.3901443;170
108001;117880;-8.2891607;39.3901443;171
110401;118040;-8.2891598;39.3901443;171
112801;118170;-8.2891598;39.3901443;0
115201;118350;-8.2891598;39.3901443;171
120001;118660;-8.2891579;39.3901443;172
132002;119480;-8.2891569;39.3901405;172
134401;119630;-8.2891560;39.3901405;0
136801;119810;-8.2891569;39.3901405;173
139201;119970;-8.2891569;39.3901443;173
141601;120130;-8.2891569;39.3901443;173
144002;120290;-8.2891569;39.3901443;173
146401;120430;-8.2891569;39.3901443;173
151201;120730;-8.2891569;39.3901482;173
156002;121020;-8.2891607;39.3901443;173
160801;121320;-8.2891617;39.3901405;173
163201;121470;-8.2891636;39.3901405;173
165601;121610;-8.2891645;39.3901405;173
168002;121780;-8.2891655;39.3901367;173
170401;121920;-8.2891655;39.3901367;173
172801;122060;-8.2891665;39.3901367;172
175201;122220;-8.2891674;39.3901329;172
177601;122360;-8.2891674;39.3901329;0
180002;122510;-8.2891674;39.3901329;172
182401;122670;-8.2891665;39.3901329;172
184801;122810;-8.2891655;39.3901329;171
187201;122970;-8.2891254;39.3901443;172
192002;123260;-8.2891254;39.3901329;170
194401;123420;-8.2891273;39.3901367;169
196801;123570;-8.2891321;39.3901329;0
201601;123850;-8.2891340;39.3901367;167
204002;123990;-8.2891350;39.3901329;167
206401;124130;-8.2891369;39.3901329;167
208801;124260;-8.2891397;39.3901367;166
211201;124410;-8.2891407;39.3901329;166
214801;124620;-8.2891417;39.3901291;166
217201;124780;-8.2891417;39.3901291;166
219601;124890;-8.2891426;39.3901329;166
224401;125180;-8.2891436;39.3901367;166
226801;125330;-8.2891388;39.3901367;165
229201;125460;-8.2891455;39.3901443;168
231601;125600;-8.2891464;39.3901443;168
234002;125730;-8.2891483;39.3901482;168
237601;125920;-8.2891493;39.3901482;167
240002;126080;-8.2891483;39.3901405;167
242401;126210;-8.2891455;39.3901443;167
244801;126360;-8.2891417;39.3901405;166
247201;126470;-8.2891445;39.3901405;166
249601;126590;-8.2891464;39.3901443;167
252002;126720;-8.2891455;39.3901520;165
254401;126870;-8.2891464;39.3901520;165
256801;126980;-8.2891464;39.3901520;166
261601;127250;-8.2891483;39.3901520;0
264002;127360;-8.2891502;39.3901367;169
266401;127500;-8.2891493;39.3901367;169
