timestamp,altitude,velocity,filteredAltitude,filteredVelocity,lda,lowv,apogee,no,drogue,main
0.00,1.00,20.00,0.20,4.00,0,0,0,0,0,0
0.05,12.00,220.00,2.56,47.20,0,0,0,0,0,0
0.10,14.00,40.00,4.85,45.76,0,0,0,0,0,0
0.15,56.00,840.00,15.08,204.61,0,0,0,0,0,0
0.20,19.00,-740.00,15.86,15.69,0,0,0,0,0,0
0.25,51.00,640.00,22.89,140.55,0,0,0,0,0,0
0.30,38.00,-260.00,25.91,60.44,0,0,0,0,0,0
0.35,37.00,-20.00,28.13,44.35,0,0,0,0,0,0
0.40,43.00,120.00,31.10,59.48,0,0,0,0,0,0
0.45,62.00,380.00,37.28,123.58,0,0,0,0,0,0
0.50,62.00,0.00,42.23,98.87,0,0,0,0,0,0
0.55,81.00,380.00,49.98,155.09,0,0,0,0,0,0
0.60,51.00,-600.00,50.18,4.08,0,0,0,0,0,0
0.65,75.00,480.00,55.15,99.26,0,0,0,0,0,0
0.70,85.00,200.00,61.12,119.41,0,0,0,0,0,0
0.75,65.00,-400.00,61.89,15.53,0,0,0,0,0,0
0.80,104.00,780.00,70.32,168.42,0,0,0,0,0,0
0.85,106.00,40.00,77.45,142.74,0,0,0,0,0,0
0.90,98.00,-160.00,81.56,82.19,0,0,0,0,0,0
0.95,124.00,520.00,90.05,169.75,0,0,0,0,0,0
1.00,130.00,120.00,98.04,159.80,0,0,0,0,0,0
1.05,143.00,260.00,107.03,179.84,0,0,0,0,0,0
1.10,151.00,160.00,115.83,175.87,0,0,0,0,0,0
1.15,156.00,100.00,123.86,160.70,0,0,0,0,0,0
1.20,158.00,40.00,130.69,136.56,0,0,0,0,0,0
1.25,167.00,180.00,137.95,145.25,0,0,0,0,0,0
1.30,202.00,700.00,150.76,256.20,202,0,0,0,0,0
1.35,221.00,380.00,164.81,280.96,0,0,0,0,0,0
1.40,239.00,360.00,179.65,296.77,0,0,0,0,0,0
1.45,253.00,280.00,194.32,293.41,0,0,0,0,0,0
1.50,273.00,400.00,210.05,314.73,0,0,0,0,0,0
1.55,275.00,40.00,223.04,259.78,0,0,0,0,0,0
1.60,294.00,380.00,237.23,283.83,0,0,0,0,0,0
1.65,305.00,220.00,250.79,271.06,0,0,0,0,0,0
1.70,321.00,320.00,264.83,280.85,0,0,0,0,0,0
1.75,357.00,720.00,283.26,368.68,0,0,0,0,0,0
1.80,377.00,400.00,302.01,374.94,0,0,0,0,0,0
1.85,404.00,540.00,322.41,407.95,0,0,0,0,0,0
1.90,430.00,520.00,343.93,430.36,0,0,0,0,0,0
1.95,461.00,620.00,367.34,468.29,0,0,0,0,0,0
2.00,503.00,840.00,394.47,542.63,0,0,0,0,0,0
2.05,541.00,760.00,423.78,586.11,0,0,0,0,0,0
2.10,558.00,340.00,450.62,536.89,0,0,0,0,0,0
2.15,587.00,580.00,477.90,545.51,0,0,0,0,0,0
2.20,590.00,60.00,500.32,448.41,0,0,0,0,0,0
2.25,609.00,380.00,522.05,434.72,0,0,0,0,0,0
2.30,688.00,1580.00,555.24,663.78,0,0,0,0,0,0
2.35,680.00,-160.00,580.20,499.02,0,0,0,0,0,0
2.40,707.00,540.00,605.56,507.22,0,0,0,0,0,0
2.45,698.00,-180.00,624.04,369.78,0,0,0,0,0,0
2.50,718.00,400.00,642.84,375.82,0,0,0,0,0,0
2.55,748.00,600.00,663.87,420.66,0,0,0,0,0,0
2.60,789.00,820.00,688.90,500.52,0,0,0,0,0,0
2.65,812.00,460.00,713.52,492.42,0,0,0,0,0,0
2.70,833.00,420.00,737.41,477.94,0,0,0,0,0,0
2.75,873.00,800.00,764.53,542.35,0,0,0,0,0,0
2.80,902.00,580.00,792.02,549.88,0,0,0,0,0,0
2.85,924.00,440.00,818.42,527.90,0,0,0,0,0,0
2.90,961.00,740.00,846.94,570.32,0,0,0,0,0,0
2.95,922.00,-780.00,861.95,300.26,0,0,0,0,0,0
3.00,903.00,-380.00,870.16,164.21,0,0,0,0,0,0
3.05,1029.00,2520.00,901.93,635.36,0,0,0,0,0,0
3.10,1042.00,260.00,929.94,560.29,0,0,0,0,0,0
3.15,1074.00,640.00,958.75,576.23,0,0,0,0,0,0
3.20,1041.00,-660.00,975.20,328.99,0,0,0,0,0,0
3.25,1199.00,3160.00,1019.96,895.19,0,0,0,0,0,0
3.30,1187.00,-240.00,1053.37,668.15,0,0,0,0,0,0
3.35,1195.00,160.00,1081.70,566.52,0,0,0,0,0,0
3.40,1235.00,800.00,1112.36,613.22,0,0,0,0,0,0
3.45,1309.00,1480.00,1151.69,786.57,0,0,0,0,0,0
3.50,1338.00,580.00,1188.95,745.26,0,0,0,0,0,0
3.55,1364.00,520.00,1223.96,700.21,0,0,0,0,0,0
3.60,1429.00,1300.00,1264.97,820.17,0,0,0,0,0,0
3.65,1468.00,780.00,1305.57,812.13,0,0,0,0,0,0
3.70,1500.00,640.00,1344.46,777.71,0,0,0,0,0,0
3.75,1548.00,960.00,1385.17,814.17,0,0,0,0,0,0
3.80,1584.00,720.00,1424.93,795.33,0,0,0,0,0,0
3.85,1590.00,120.00,1457.95,660.27,0,0,0,0,0,0
3.90,1643.00,1060.00,1494.96,740.21,0,0,0,0,0,0
3.95,1674.00,620.00,1530.77,716.17,0,0,0,0,0,0
4.00,1717.00,860.00,1568.01,744.94,0,0,0,0,0,0
4.05,1776.00,1180.00,1609.61,831.95,0,0,0,0,0,0
4.10,1800.00,480.00,1647.69,761.56,0,0,0,0,0,0
4.15,1814.00,280.00,1680.95,665.25,0,0,0,0,0,0
4.20,1834.00,400.00,1711.56,612.20,0,0,0,0,0,0
4.25,1959.00,2500.00,1761.05,989.76,0,0,0,0,0,0
4.30,2006.00,940.00,1810.04,979.81,0,0,0,0,0,0
4.35,2038.00,640.00,1855.63,911.85,0,0,0,0,0,0
4.40,2107.00,1380.00,1905.90,1005.48,0,0,0,0,0,0
4.45,2211.00,2080.00,1966.92,1220.38,0,0,0,0,0,0
4.50,2246.00,700.00,2022.74,1116.30,0,0,0,0,0,0
4.55,2323.00,1540.00,2082.79,1201.04,0,0,0,0,0,0
4.60,2363.00,800.00,2138.83,1120.83,0,0,0,0,0,0
4.65,2415.00,1040.00,2194.07,1104.67,0,0,0,0,0,0
4.70,2474.00,1180.00,2250.05,1119.74,0,0,0,0,0,0
4.75,2537.00,1260.00,2307.44,1147.79,0,0,0,0,0,0
4.80,2565.00,560.00,2358.95,1030.23,0,0,0,0,0,0
4.85,2609.00,880.00,2408.96,1000.19,0,0,0,0,0,0
4.90,2649.00,800.00,2456.97,960.15,0,0,0,0,0,0
4.95,2698.00,980.00,2505.18,964.12,0,0,0,0,0,0
5.00,2763.00,1300.00,2556.74,1031.29,0,0,0,0,0,0
5.05,2797.00,680.00,2604.79,961.04,0,0,0,0,0,0
5.10,2867.00,1400.00,2657.23,1048.83,0,0,0,0,0,0
5.15,2885.00,360.00,2702.79,911.06,0,0,0,0,0,0
5.20,2959.00,1480.00,2754.03,1024.85,0,0,0,0,0,0
5.25,2985.00,520.00,2800.22,923.88,0,0,0,0,0,0
5.30,3052.00,1340.00,2850.58,1007.10,0,0,0,0,0,0
5.35,3107.00,1100.00,2901.86,1025.68,0,0,0,0,0,0
5.40,3152.00,900.00,2951.89,1000.55,0,0,0,0,0,0
5.45,3209.00,1140.00,3003.31,1028.44,0,0,0,0,0,0
5.50,3258.00,980.00,3054.25,1018.75,0,0,0,0,0,0
5.55,3292.00,680.00,3101.80,951.00,0,0,0,0,0,0
5.60,3345.00,1060.00,3150.44,972.80,0,0,0,0,0,0
5.65,3400.00,1100.00,3200.35,998.24,0,0,0,0,0,0
5.70,3415.00,300.00,3243.28,858.59,0,0,0,0,0,0
5.75,3465.00,1000.00,3287.63,886.88,0,0,0,0,0,0
5.80,3504.00,780.00,3330.90,865.50,0,0,0,0,0,0
5.85,3528.00,480.00,3370.32,788.40,0,0,0,0,0,0
5.90,3585.00,1140.00,3413.26,858.72,0,0,0,0,0,0
5.95,3620.00,700.00,3454.60,826.97,0,0,0,0,0,0
6.00,3674.00,1080.00,3498.48,877.58,0,0,0,0,0,0
6.05,3714.00,800.00,3541.59,862.07,0,0,0,0,0,0
6.10,3778.00,1280.00,3588.87,945.65,0,0,0,0,0,0
6.15,3813.00,700.00,3633.70,896.52,0,0,0,0,0,0
6.20,3852.00,780.00,3677.36,873.22,0,0,0,0,0,0
6.25,3908.00,1120.00,3723.49,922.57,0,0,0,0,0,0
6.30,3952.00,880.00,3769.19,914.06,0,0,0,0,0,0
6.35,3996.00,880.00,3814.55,907.25,0,0,0,0,0,0
6.40,4029.00,660.00,3857.44,857.80,0,0,0,0,0,0
6.45,4083.00,1080.00,3902.55,902.24,0,0,0,0,0,0
6.50,4141.00,1160.00,3950.24,953.79,0,0,0,0,0,0
6.55,4173.00,640.00,3994.79,891.04,0,0,0,0,0,0
6.60,4217.00,880.00,4039.23,888.83,0,0,0,0,0,0
6.65,4279.00,1240.00,4087.19,959.06,0,0,0,0,0,0
6.70,4301.00,440.00,4129.95,855.24,0,0,0,0,0,0
6.75,4353.00,1040.00,4174.56,892.20,0,0,0,0,0,0
6.80,4383.00,600.00,4216.25,833.76,0,0,0,0,0,0
6.85,4425.00,840.00,4258.00,835.01,0,0,0,0,0,0
6.90,4465.00,800.00,4299.40,828.01,0,0,0,0,0,0
6.95,4517.00,1040.00,4342.92,870.40,0,0,0,0,0,0
7.00,4555.00,760.00,4385.33,848.32,0,0,0,0,0,0
7.05,4598.00,860.00,4427.87,850.66,0,0,0,0,0,0
7.10,4638.00,800.00,4469.89,840.53,0,0,0,0,0,0
7.15,4674.00,720.00,4510.72,816.43,0,0,0,0,0,0
7.20,4724.00,1000.00,4553.37,853.13,0,0,0,0,0,0
7.25,4758.00,680.00,4594.30,818.51,0,0,0,0,0,0
7.30,4829.00,1420.00,4641.24,938.81,0,0,0,0,0,0
7.35,4822.00,-140.00,4677.39,723.05,0,0,0,0,0,0
7.40,4861.00,780.00,4714.11,734.43,0,0,0,0,0,0
7.45,4914.00,1060.00,4754.09,799.55,0,0,0,0,0,0
7.50,4956.00,840.00,4794.47,807.64,0,0,0,0,0,0
7.55,4977.00,420.00,4830.98,730.12,0,0,0,0,0,0
7.60,5037.00,1200.00,4872.18,824.09,0,0,0,0,0,0
7.65,5055.00,360.00,4908.75,731.27,0,0,0,0,0,0
7.70,5101.00,920.00,4947.20,769.01,0,0,0,0,0,0
7.75,5140.00,780.00,4985.76,771.21,0,0,0,0,0,0
7.80,5186.00,920.00,5025.81,800.98,0,0,0,0,0,0
7.85,5233.00,940.00,5067.24,828.78,0,0,0,0,0,0
7.90,5239.00,120.00,5101.60,687.02,0,0,0,0,0,0
7.95,5273.00,680.00,5135.88,685.62,0,0,0,0,0,0
8.00,5311.00,760.00,5170.90,700.50,0,0,0,0,0,0
8.05,5365.00,1080.00,5209.72,776.40,0,0,0,0,0,0
8.10,5403.00,760.00,5248.38,773.12,0,0,0,0,0,0
8.15,5439.00,720.00,5286.50,762.49,0,0,0,0,0,0
8.20,5459.00,400.00,5321.00,689.99,0,0,0,0,0,0
8.25,5513.00,1080.00,5359.40,768.00,0,0,0,0,0,0
8.30,5529.00,320.00,5393.32,678.40,0,0,0,0,0,0
8.35,5586.00,1140.00,5431.86,770.71,0,0,0,0,0,0
8.40,5626.00,800.00,5470.69,776.57,0,0,0,0,0,0
8.45,5652.00,520.00,5506.95,725.26,0,0,0,0,0,0
8.50,5695.00,860.00,5544.56,752.21,0,0,0,0,0,0
8.55,5735.00,800.00,5582.65,761.77,0,0,0,0,0,0
8.60,5766.00,620.00,5619.32,733.41,0,0,0,0,0,0
8.65,5766.00,0.00,5648.65,586.73,0,0,0,0,0,0
8.70,5827.00,1220.00,5684.32,713.39,0,0,0,0,0,0
8.75,5874.00,940.00,5722.26,758.71,0,0,0,0,0,0
8.80,5892.00,360.00,5756.21,678.96,0,0,0,0,0,0
8.85,5931.00,780.00,5791.17,699.17,0,0,0,0,0,0
8.90,5956.00,500.00,5824.13,659.34,0,0,0,0,0,0
8.95,5989.00,660.00,5857.11,659.47,0,0,0,0,0,0
9.00,6016.00,540.00,5888.88,635.58,0,0,0,0,0,0
9.05,6066.00,1000.00,5924.31,708.46,0,0,0,0,0,0
9.10,6086.00,400.00,5956.65,646.77,0,0,0,0,0,0
9.15,6126.00,800.00,5990.52,677.41,0,0,0,0,0,0
9.20,6158.00,640.00,6024.01,669.93,0,0,0,0,0,0
9.25,6203.00,900.00,6059.81,715.95,0,0,0,0,0,0
9.30,6235.00,640.00,6094.85,700.76,0,0,0,0,0,0
9.35,6278.00,860.00,6131.48,732.61,0,0,0,0,0,0
9.40,6334.00,1120.00,6171.98,810.09,0,0,0,0,0,0
9.45,6318.00,-320.00,6201.19,584.06,0,0,0,0,0,0
9.50,6377.00,1180.00,6236.35,703.25,0,0,0,0,0,0
9.55,6396.00,380.00,6268.28,638.60,0,0,0,0,0,0
9.60,6432.00,720.00,6301.02,654.88,0,0,0,0,0,0
9.65,6437.00,100.00,6328.22,543.91,0,0,0,0,0,0
9.70,6482.00,900.00,6358.98,615.13,0,0,0,0,0,0
9.75,6505.00,460.00,6388.18,584.10,0,0,0,0,0,0
9.80,6535.00,600.00,6417.54,587.28,0,0,0,0,0,0
