timestamp,altitude,velocity,filteredAltitude,filteredVelocity,lda,lowv,apogee,no,drogue,main
0.00,7.00,140.00,1.40,28.00,0,0,0,0,0,0
0.05,14.00,140.00,3.92,50.40,0,0,0,0,0,0
0.10,47.00,660.00,12.54,172.32,0,0,0,0,0,0
0.15,80.00,660.00,26.03,269.86,0,0,0,0,0,0
0.20,57.00,-460.00,32.22,123.88,0,0,0,0,0,0
0.25,72.00,300.00,40.18,159.11,0,0,0,0,0,0
0.30,84.00,240.00,48.94,175.29,0,0,0,0,0,0
0.35,109.00,500.00,60.95,240.23,0,0,0,0,0,0
0.40,102.00,-140.00,69.16,164.18,0,0,0,0,0,0
0.45,141.00,780.00,83.53,287.35,0,0,0,0,0,0
0.50,139.00,-40.00,94.62,221.88,0,0,0,0,0,0
0.55,129.00,-200.00,101.50,137.50,0,0,0,0,0,0
0.60,143.00,280.00,109.80,166.00,0,0,0,0,0,0
0.65,157.00,280.00,119.24,188.80,0,0,0,0,0,0
0.70,159.00,40.00,127.19,159.04,0,0,0,0,0,0
0.75,205.00,920.00,142.75,311.23,205,0,0,0,0,0
0.80,212.00,140.00,156.60,276.99,0,0,0,0,0,0
0.85,242.00,600.00,173.68,341.59,0,0,0,0,0,0
0.90,269.00,540.00,192.75,381.27,0,0,0,0,0,0
0.95,303.00,680.00,214.80,441.02,0,0,0,0,0,0
1.00,302.00,-20.00,232.24,348.81,0,0,0,0,0,0
1.05,348.00,920.00,255.39,463.05,0,0,0,0,0,0
1.10,377.00,580.00,279.71,486.44,0,0,0,0,0,0
1.15,414.00,740.00,306.57,537.15,0,0,0,0,0,0
1.20,448.00,680.00,334.86,565.72,0,0,0,0,0,0
1.25,482.00,680.00,364.28,588.58,0,0,0,0,0,0
1.30,521.00,780.00,395.63,626.86,0,0,0,0,0,0
1.35,569.00,960.00,430.30,693.49,0,0,0,0,0,0
1.40,603.00,680.00,464.84,690.79,0,0,0,0,0,0
1.45,629.00,520.00,497.67,656.63,0,0,0,0,0,0
1.50,666.00,740.00,531.34,673.31,0,0,0,0,0,0
1.55,711.00,900.00,567.27,718.65,0,0,0,0,0,0
1.60,730.00,380.00,599.82,650.92,0,0,0,0,0,0
1.65,778.00,960.00,635.45,712.73,0,0,0,0,0,0
1.70,812.00,680.00,670.76,706.19,0,0,0,0,0,0
1.75,845.00,660.00,705.61,696.95,0,0,0,0,0,0
1.80,889.00,880.00,742.29,733.56,0,0,0,0,0,0
1.85,947.00,1160.00,783.23,818.85,0,0,0,0,0,0
1.90,1003.00,1120.00,827.18,879.08,0,0,0,0,0,0
1.95,1031.00,560.00,867.95,815.26,0,0,0,0,0,0
2.00,1074.00,860.00,909.16,824.21,0,0,0,0,0,0
2.05,1116.00,840.00,950.53,827.37,0,0,0,0,0,0
2.10,1152.00,720.00,990.82,805.89,0,0,0,0,0,0
2.15,1190.00,760.00,1030.66,796.72,0,0,0,0,0,0
2.20,1236.00,920.00,1071.73,821.37,0,0,0,0,0,0
2.25,1285.00,980.00,1114.38,853.10,0,0,0,0,0,0
2.30,1342.00,1140.00,1159.90,910.48,0,0,0,0,0,0
2.35,1380.00,760.00,1203.92,880.38,0,0,0,0,0,0
2.40,1416.00,720.00,1246.34,848.31,0,0,0,0,0,0
2.45,1477.00,1220.00,1292.47,922.64,0,0,0,0,0,0
2.50,1535.00,1160.00,1340.98,970.11,0,0,0,0,0,0
2.55,1620.00,1700.00,1396.78,1116.09,0,0,0,0,0,0
2.60,1668.00,960.00,1451.03,1084.87,0,0,0,0,0,0
2.65,1710.00,840.00,1502.82,1035.90,0,0,0,0,0,0
2.70,1781.00,1420.00,1558.46,1112.72,0,0,0,0,0,0
2.75,1823.00,840.00,1611.36,1058.18,0,0,0,0,0,0
2.80,1880.00,1140.00,1665.09,1074.54,0,0,0,0,0,0
2.85,1944.00,1280.00,1720.87,1115.63,0,0,0,0,0,0
2.90,1998.00,1080.00,1776.30,1108.51,0,0,0,0,0,0
2.95,2052.00,1080.00,1831.44,1102.81,0,0,0,0,0,0
3.00,2103.00,1020.00,1885.75,1086.24,0,0,0,0,0,0
3.05,2174.00,1420.00,1943.40,1153.00,0,0,0,0,0,0
3.10,2263.00,1780.00,2007.32,1278.40,0,0,0,0,0,0
3.15,2307.00,880.00,2067.26,1198.72,0,0,0,0,0,0
3.20,2366.00,1180.00,2127.01,1194.98,0,0,0,0,0,0
3.25,2433.00,1340.00,2188.20,1223.98,0,0,0,0,0,0
3.30,2480.00,940.00,2246.56,1167.18,0,0,0,0,0,0
3.35,2542.00,1240.00,2305.65,1181.75,0,0,0,0,0,0
3.40,2611.00,1380.00,2366.72,1221.40,0,0,0,0,0,0
3.45,2665.00,1080.00,2426.38,1193.12,0,0,0,0,0,0
3.50,2743.00,1560.00,2489.70,1266.49,0,0,0,0,0,0
3.55,2824.00,1620.00,2556.56,1337.20,0,0,0,0,0,0
3.60,2822.00,-40.00,2609.65,1061.76,0,0,0,0,0,0
3.65,2887.00,1300.00,2665.12,1109.40,0,0,0,0,0,0
3.70,2977.00,1800.00,2727.50,1247.52,0,0,0,0,0,0
3.75,3046.00,1380.00,2791.20,1274.02,0,0,0,0,0,0
3.80,3098.00,1040.00,2852.56,1227.22,0,0,0,0,0,0
3.85,3156.00,1160.00,2913.25,1213.77,0,0,0,0,0,0
3.90,3228.00,1440.00,2976.20,1259.02,0,0,0,0,0,0
3.95,3267.00,780.00,3034.36,1163.21,0,0,0,0,0,0
4.00,3329.00,1240.00,3093.29,1178.57,0,0,0,0,0,0
4.05,3366.00,740.00,3147.83,1090.86,0,0,0,0,0,0
4.10,3430.00,1280.00,3204.26,1128.69,0,0,0,0,0,0
4.15,3486.00,1120.00,3260.61,1126.95,0,0,0,0,0,0
4.20,3527.00,820.00,3313.89,1065.56,0,0,0,0,0,0
4.25,3571.00,880.00,3365.31,1028.45,0,0,0,0,0,0
4.30,3627.00,1120.00,3417.65,1046.76,0,0,0,0,0,0
4.35,3651.00,480.00,3464.32,933.41,0,0,0,0,0,0
4.40,3688.00,740.00,3509.06,894.73,0,0,0,0,0,0
4.45,3737.00,980.00,3554.64,911.78,0,0,0,0,0,0
4.50,3780.00,860.00,3599.72,901.43,0,0,0,0,0,0
4.55,3808.00,560.00,3641.37,833.14,0,0,0,0,0,0
4.60,3849.00,820.00,3682.90,830.51,0,0,0,0,0,0
4.65,3896.00,940.00,3725.52,852.41,0,0,0,0,0,0
4.70,3932.00,720.00,3766.81,825.93,0,0,0,0,0,0
4.75,3956.00,480.00,3804.65,756.74,0,0,0,0,0,0
4.80,4014.00,1160.00,3846.52,837.39,0,0,0,0,0,0
4.85,4043.00,580.00,3885.82,785.91,0,0,0,0,0,0
4.90,4077.00,680.00,3924.05,764.73,0,0,0,0,0,0
4.95,4129.00,1040.00,3965.04,819.79,0,0,0,0,0,0
5.00,4153.00,480.00,4002.63,751.83,0,0,0,0,0,0
5.05,4210.00,1140.00,4044.11,829.46,0,0,0,0,0,0
5.10,4240.00,600.00,4083.29,783.57,0,0,0,0,0,0
5.15,4285.00,900.00,4123.63,806.86,0,0,0,0,0,0
5.20,4311.00,520.00,4161.10,749.48,0,0,0,0,0,0
5.25,4360.00,980.00,4200.88,795.59,0,0,0,0,0,0
5.30,4390.00,600.00,4238.71,756.47,0,0,0,0,0,0
5.35,4421.00,620.00,4275.17,729.18,0,0,0,0,0,0
5.40,4458.00,740.00,4311.73,731.34,0,0,0,0,0,0
5.45,4503.00,900.00,4349.99,765.07,0,0,0,0,0,0
5.50,4537.00,680.00,4387.39,748.06,0,0,0,0,0,0
5.55,4578.00,820.00,4425.51,762.45,0,0,0,0,0,0
5.60,4603.00,500.00,4461.01,709.96,0,0,0,0,0,0
5.65,4647.00,880.00,4498.21,743.96,0,0,0,0,0,0
5.70,4690.00,860.00,4536.57,767.17,0,0,0,0,0,0
5.75,4722.00,640.00,4573.65,741.74,0,0,0,0,0,0
5.80,4756.00,680.00,4610.12,729.39,0,0,0,0,0,0
5.85,4808.00,1040.00,4649.70,791.51,0,0,0,0,0,0
5.90,4827.00,380.00,4685.16,709.21,0,0,0,0,0,0
5.95,4880.00,1060.00,4724.13,779.37,0,0,0,0,0,0
6.00,4896.00,320.00,4758.50,687.49,0,0,0,0,0,0
6.05,4940.00,880.00,4794.80,726.00,0,0,0,0,0,0
6.10,4965.00,500.00,4828.84,680.80,0,0,0,0,0,0
6.15,4996.00,620.00,4862.27,668.63,0,0,0,0,0,0
6.20,5022.00,520.00,4894.22,638.91,0,0,0,0,0,0
6.25,5087.00,1300.00,4932.77,771.13,0,0,0,0,0,0
